JD ID for Subcribing Institution,636,,,,,,,,,,
SO Identifier,_aip_complete collection_2011_2012_nesli2,,,,,,,,,,
Subscription Term Start Year,2011,,,,,,,,,,
Subscription Term End Year,2012,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,AIP Conference Proceedings,0094-243X ,0094-243X,1999,,,,,,,
,Applied Physics Letters,01-Mar-51,1077-3118,1999,,,,,,,Y
,Chaos: An Interdisciplinary Journal of Nonlinear Science,1054-1500,1089-7682,1999,,,,,,,
,Journal of Applied Physics,0021-8979,1089-7550 ,1999,,,,,,,
,Journal of Mathematical Physics,0022-2488  ,1089-7658,1999,,,,,,,
,Low Temperature Physics,1063-777X ,1090-6517,1999,,,,,,,
,Physics of Fluids,1070-6631 ,1089-7666,1999,,,,,,,
,Physics of Plasmas,1070-664X  ,1089-7674,1999,,,,,,,
,Physics Today,0031-9228,,1999,,,,,,,
,Review of Scientific Instruments,0034-6748,1089-7623,1999,,,,,,,
,The Journal of Chemical Physics,0021-9606,1089-7690,1999,,,,,,,
,Journal of Physical and Chemical Reference Data,0047-2689,1529-7845,1999,,,,,,,
